date,item,price
16/10/2021,banana,97
16/10/2021,mango,46
16/10/2021,orange,64
16/10/2021,cabbage,110
16/10/2021,cucumber,92
16/10/2021,tomato,122
17/10/2021,banana,101
17/10/2021,mango,54
17/10/2021,orange,62
17/10/2021,cabbage,135
17/10/2021,cucumber,98
17/10/2021,tomato,115
18/10/2021,banana,98
18/10/2021,mango,51
18/10/2021,orange,62
18/10/2021,cabbage,101
18/10/2021,cucumber,82
18/10/2021,tomato,77
19/10/2021,banana,94
19/10/2021,mango,66
19/10/2021,orange,82
19/10/2021,cabbage,114
19/10/2021,cucumber,90
19/10/2021,tomato,63
20/10/2021,banana,54
20/10/2021,mango,35
20/10/2021,orange,75
20/10/2021,cabbage,94
20/10/2021,cucumber,82
20/10/2021,tomato,90
21/10/2021,banana,98
21/10/2021,mango,51
21/10/2021,orange,62
21/10/2021,cabbage,101
21/10/2021,cucumber,82
21/10/2021,tomato,77
22/10/2021,banana,89
22/10/2021,mango,53
22/10/2021,orange,77
22/10/2021,cabbage,90
22/10/2021,cucumber,85
22/10/2021,tomato,96
23/10/2021,banana,95
23/10/2021,mango,59
23/10/2021,orange,82
23/10/2021,cabbage,99
23/10/2021,cucumber,84
23/10/2021,tomato,97
24/10/2021,banana,94
24/10/2021,mango,66
24/10/2021,orange,82
24/10/2021,cabbage,114
24/10/2021,cucumber,90
24/10/2021,tomato,63
25/10/2021,banana,98
25/10/2021,mango,51
25/10/2021,orange,62
25/10/2021,cabbage,101
25/10/2021,cucumber,82
25/10/2021,tomato,77
26/10/2021,banana,89
26/10/2021,mango,53
26/10/2021,orange,77
26/10/2021,cabbage,90
26/10/2021,cucumber,85
26/10/2021,tomato,96
27/10/2021,banana,94
27/10/2021,mango,66
27/10/2021,orange,82
27/10/2021,cabbage,114
27/10/2021,cucumber,90
27/10/2021,tomato,63
28/10/2021,banana,98
28/10/2021,mango,51
28/10/2021,orange,62
28/10/2021,cabbage,101
28/10/2021,cucumber,82
28/10/2021,tomato,77
29/10/2021,banana,89
29/10/2021,mango,53
29/10/2021,orange,77
29/10/2021,cabbage,90
29/10/2021,cucumber,85
29/10/2021,tomato,96
30/10/2021,banana,94
30/10/2021,mango,66
30/10/2021,orange,82
30/10/2021,cabbage,114
30/10/2021,cucumber,90
30/10/2021,tomato,63
